Team,2019_Season,2020_Season,2021_Season,2022_Season,2023_Season
Hawks,29,25,47,43,41
Celtics,49,55,41,51,57
Nets,42,40,55,44,45
Hornets,39,29,38,43,27
Bulls,22,28,35,46,40
Cavaliers,19,24,25,44,51
Mavericks,33,47,48,52,38
Nuggets,54,52,54,48,53
Pistons,41,25,23,23,17
Warriors,57,20,44,53,44
Rockets,53,50,19,20,22
Pacers,48,51,39,25,35
Clippers,48,56,54,42,44
Lakers,37,60,48,33,43
Grizzlies,33,38,43,56,51
Heat,39,49,46,53,44
Bucks,60,63,52,51,58
Timberwolves,36,24,26,46,42
Pelicans,33,34,35,36,42
Knicks,17,26,47,37,47
Thunder,49,50,25,24,40
Magic,42,37,24,22,34
76ers,51,48,56,51,54
Suns,19,38,58,64,45
Blazers,53,39,48,27,33
Kings,39,35,35,30,48
Spurs,48,37,38,34,22
Raptors,58,60,31,48,41
Jazz,50,50,59,49,37
Wizards,32,29,39,35,35