Player,GP,Points,Assists,Rebounds,Steals,Blocks,FG%,3PT%
Damian Lillard,58,1866,425,277,50,18,46.3,37.1
Anfernee Simons,62,1306,253,161,42,14,44.7,37.7
Jerami Grant,63,1290,150,283,51,53,47.5,40.1
Shaedon Sharpe,80,789,94,236,38,24,47.2,36.0
Jusuf Nurkic,52,694,149,471,43,44,51.9,36.1
Drew Eubanks,78,518,103,418,40,102,64.1,38.9
Josh Hart,51,487,200,417,54,9,50.4,30.4
Trendon Watford,62,459,130,238,32,12,56.0,39.1
Nassir Little,54,359,50,141,20,20,44.2,36.7
Cam Reddish,20,219,37,57,24,6,44.3,31.8